keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,intent_kaynak,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,katman,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,kurum_sorgusu,oyuncu_dogrulama,faset_notu,mantik_denetim,guncellik
galatasaray górnik zabrze canlı izle,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,Türkçe,Long-tail,h2h_izle,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Kura Bekliyor
galatasaray górnik zabrze hangi kanalda,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,Türkçe,Long-tail,h2h_kanal,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,Tipoloji: Kanal/Yayın ile Canlı İzle aynı izleme sayfasına iner,Geçerli,Kura Bekliyor
galatasaray górnik zabrze saat kaçta,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Maç & Takvim,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_saat,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Kura Bekliyor
galatasaray górnik zabrze maçı ne zaman,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Maç & Takvim,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_nezaman,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Kura Bekliyor
galatasaray sturm graz nerede izlenir,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,İngilizce,Long-tail,nerede_izlenir,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Kura Bekliyor
galatasaray sturm graz canlı izle,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,Türkçe,Long-tail,h2h_izle,Ana Liste,10,,,,,,evet,0,0,0,0,0,0,0,0,0,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,hayır,,,Geçerli,Kura Bekliyor
galatasaray sturm graz hangi kanalda,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,İngilizce,Long-tail,h2h_kanal,Ana Liste,10,LOW,0,,,,evet,10,0,10,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,10,0,10,0,0,10,10,0,10,0,10,10,hayır,,Tipoloji: Kanal/Yayın ile Canlı İzle aynı izleme sayfasına iner,Geçerli,Kura Bekliyor
galatasaray sturm graz saat kaçta,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Maç & Takvim,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_saat,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Kura Bekliyor
galatasaray sturm graz maçı ne zaman,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Maç & Takvim,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_nezaman,Ana Liste,10,LOW,2,,,,evet,10,0,10,0,0,10,0,0,0,10,0,0,10,0,10,0,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,hayır,,,Geçerli,Kura Bekliyor
galatasaray midtjylland nerede izlenir,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,İngilizce,Body,nerede_izlenir,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Kura Bekliyor
galatasaray midtjylland canlı izle,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,Türkçe,Body,h2h_izle,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Kura Bekliyor
galatasaray midtjylland hangi kanalda,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,İngilizce,Body,h2h_kanal,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,Tipoloji: Kanal/Yayın ile Canlı İzle aynı izleme sayfasına iner,Geçerli,Kura Bekliyor
galatasaray midtjylland saat kaçta,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Maç & Takvim,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_saat,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Kura Bekliyor
galatasaray midtjylland maçı ne zaman,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Maç & Takvim,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_nezaman,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Kura Bekliyor
galatasaray benfica nerede izlenir,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,İngilizce,Body,nerede_izlenir,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Kura Bekliyor
galatasaray benfica canlı izle,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,Türkçe,Body,h2h_izle,Ana Liste,10,,,,,,evet,0,10,0,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,hayır,,,Geçerli,Kura Bekliyor
galatasaray benfica hangi kanalda,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,İngilizce,Body,h2h_kanal,Ana Liste,10,,,,,,evet,0,0,0,0,0,10,10,10,10,10,20,20,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,hayır,,Tipoloji: Kanal/Yayın ile Canlı İzle aynı izleme sayfasına iner,Geçerli,Kura Bekliyor
galatasaray benfica saat kaçta,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Maç & Takvim,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_saat,Ana Liste,10,,,,,,evet,0,0,0,0,0,0,10,10,0,0,10,10,10,0,0,0,10,0,10,10,10,0,10,0,10,0,0,0,0,0,10,hayır,,,Geçerli,Kura Bekliyor
galatasaray benfica maçı ne zaman,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Maç & Takvim,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_nezaman,Ana Liste,140,LOW,0,,,,evet,10,10,20,20,90,140,110,70,70,50,210,720,210,70,50,50,590,390,720,1000,590,260,260,10,10,10,10,10,10,10,10,hayır,,,Geçerli,Kura Bekliyor
galatasaray ajax nerede izlenir,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,İngilizce,Body,nerede_izlenir,Ana Liste,30,,,,,,evet,0,0,0,0,0,0,0,0,320,10,0,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,hayır,,,Geçerli,Kura Bekliyor
galatasaray ajax canlı izle,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,Türkçe,Body,h2h_izle,Ana Liste,590,,,,,,evet,0,0,10,10,10,10,10,20,6600,10,0,10,10,0,10,10,10,90,4400,10,10,0,10,0,0,0,0,10,0,0,0,hayır,,,Geçerli,Kura Bekliyor
galatasaray ajax hangi kanalda,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,İngilizce,Body,h2h_kanal,Ana Liste,1900,LOW,9,,,,evet,10,10,10,10,10,20,30,50,27100,70,10,10,10,10,10,10,10,880,9900,40,50,20,70,10,0,0,0,0,0,0,10,hayır,,Tipoloji: Kanal/Yayın ile Canlı İzle aynı izleme sayfasına iner,Geçerli,Kura Bekliyor
galatasaray ajax saat kaçta,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Maç & Takvim,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_saat,Ana Liste,70,,,,,,evet,0,10,0,0,10,10,10,10,720,20,10,10,10,0,10,10,10,70,880,10,10,10,10,0,0,0,0,0,0,0,0,hayır,,,Geçerli,Kura Bekliyor
galatasaray ajax maçı ne zaman,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Maç & Takvim,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_nezaman,Ana Liste,12100,LOW,1,,,,evet,50,30,90,110,170,480,720,1300,110000,27100,590,390,140,90,140,170,320,4400,90500,5400,4400,4400,9900,210,10,0,0,0,10,10,10,hayır,,,Geçerli,Kura Bekliyor
galatasaray celtic nerede izlenir,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,İngilizce,Body,nerede_izlenir,Ana Liste,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Kura Bekliyor
galatasaray celtic canlı izle,Avrupa Kupası Eşleşmeleri,Futbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,İzleme,Maç,Jenerik,Türkçe,Body,h2h_izle,Ana Liste,0,,,,,,evet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,hayır,,,Geçerli,Kura Bekliyor
