keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,kulup,katman,oyuncu_ana_ad,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,kurum_sorgusu,mantik_denetim,faset_notu
ulas kiyak kimdir,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,arkas spor,Genişletme,ulas kiyak,10,LOW,0,,,,evet,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,0,20,0,0,0,0,0,0,0,0,0,0,0,hayır,Geçerli,
ulas kiyak hangi takımda,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,arkas spor,Genişletme,ulas kiyak,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
ulas kiyak istatistik,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,arkas spor,Genişletme,ulas kiyak,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
enes atli,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,arkas spor,Genişletme,enes atli,10,LOW,0,,,,evet,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,hayır,Geçerli,
enes atli kimdir,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,arkas spor,Genişletme,enes atli,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
enes atli hangi takımda,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,arkas spor,Genişletme,enes atli,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
enes atli istatistik,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,arkas spor,Genişletme,enes atli,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
nicholas hoag,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,arkas spor,Genişletme,nicholas hoag,20,LOW,0,,,,evet,10,10,30,20,10,10,10,10,10,20,110,20,10,10,10,30,40,50,20,50,40,50,20,30,40,50,70,50,70,90,70,hayır,Geçerli,
nicholas hoag kimdir,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,arkas spor,Genişletme,nicholas hoag,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
nicholas hoag hangi takımda,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,arkas spor,Genişletme,nicholas hoag,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
nicholas hoag istatistik,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,arkas spor,Genişletme,nicholas hoag,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
enis ali ay,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Jenerik,arkas spor,Genişletme,enis ali ay,10,LOW,0,,,,evet,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,hayır,Geçerli,
enis ali ay kimdir,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,arkas spor,Genişletme,enis ali ay,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
enis ali ay hangi takımda,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Long-tail,Oyuncu Bilgi,arkas spor,Genişletme,enis ali ay,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
enis ali ay istatistik,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,arkas spor,Genişletme,enis ali ay,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
mirza lagumdzija,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,arkas spor,Genişletme,mirza lagumdzija,2900,LOW,0,,,,evet,5400,4400,320,590,590,720,590,590,880,1600,18100,1900,4400,8100,1000,18100,1000,1000,880,1000,1000,880,880,1900,1300,6600,6600,2400,1900,1900,1900,hayır,Geçerli,
mirza lagumdzija kimdir,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,arkas spor,Genişletme,mirza lagumdzija,10,LOW,0,,,,evet,50,10,0,10,0,10,10,10,10,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hayır,Geçerli,
mirza lagumdzija hangi takımda,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,arkas spor,Genişletme,mirza lagumdzija,20,LOW,0,,,,evet,110,70,10,10,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hayır,Geçerli,
mirza lagumdzija istatistik,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,arkas spor,Genişletme,mirza lagumdzija,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
burutay subasi,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,arkas spor,Genişletme,burutay subasi,10,LOW,0,,,,evet,30,10,0,10,10,10,10,10,10,20,10,10,20,30,40,20,20,10,10,10,10,10,10,10,10,10,50,10,10,10,10,hayır,Geçerli,
burutay subasi kimdir,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,arkas spor,Genişletme,burutay subasi,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
burutay subasi hangi takımda,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,arkas spor,Genişletme,burutay subasi,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
burutay subasi istatistik,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,arkas spor,Genişletme,burutay subasi,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
efe mandiraci,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,arkas spor,Genişletme,efe mandiraci,170,LOW,0,,,,evet,260,390,90,90,70,70,40,40,50,50,880,140,260,260,50,90,70,50,50,70,90,90,110,480,320,1000,590,110,90,90,90,hayır,Geçerli,
efe mandiraci kimdir,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,arkas spor,Genişletme,efe mandiraci,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
efe mandiraci hangi takımda,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,arkas spor,Genişletme,efe mandiraci,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
efe mandiraci istatistik,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,arkas spor,Genişletme,efe mandiraci,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
daniel james mcdonnell,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Jenerik,arkas spor,Genişletme,daniel james mcdonnell,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
daniel james mcdonnell kimdir,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,arkas spor,Genişletme,daniel james mcdonnell,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
daniel james mcdonnell hangi takımda,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Long-tail,Oyuncu Bilgi,arkas spor,Genişletme,daniel james mcdonnell,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
daniel james mcdonnell istatistik,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,arkas spor,Genişletme,daniel james mcdonnell,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
bertug ondes,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,arkas spor,Genişletme,bertug ondes,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
bertug ondes kimdir,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,arkas spor,Genişletme,bertug ondes,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
bertug ondes hangi takımda,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,arkas spor,Genişletme,bertug ondes,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
bertug ondes istatistik,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,arkas spor,Genişletme,bertug ondes,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
gokcen yuksel,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,arkas spor,Genişletme,gokcen yuksel,90,LOW,0,,,,evet,260,480,10,30,20,40,40,20,20,20,110,30,70,90,50,90,140,40,10,30,0,0,0,0,0,0,0,0,0,0,0,hayır,Geçerli,
gokcen yuksel kimdir,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,arkas spor,Genişletme,gokcen yuksel,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
gokcen yuksel hangi takımda,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,arkas spor,Genişletme,gokcen yuksel,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
gokcen yuksel istatistik,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,arkas spor,Genişletme,gokcen yuksel,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
caner dengin,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,arkas spor,Genişletme,caner dengin,70,LOW,0,,,,evet,50,50,50,90,50,70,50,70,70,90,40,70,50,70,40,70,140,110,70,70,70,50,40,50,170,170,320,5400,40,70,40,hayır,Geçerli,
caner dengin kimdir,Efeler Ligi,Voleybol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,arkas spor,Genişletme,caner dengin,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,Geçerli,
