keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,kurum_sorgusu,oyuncu_dogrulama,faset_notu,mantik_denetim,katman
trendyol süper lig canlı izle,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle,50,LOW,14,,,,evet,10,0,40,110,110,70,50,70,40,50,10,20,10,10,30,20,30,170,50,90,40,140,110,110,20,10,90,30,50,40,30,hayır,,,Geçerli,Ana Liste
trendyol süper lig hangi kanalda,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,kan,90,MEDIUM,43,0.47,0.11,0.41,evet,110,10,30,50,40,70,40,70,70,70,90,390,70,30,40,20,50,110,50,70,50,90,170,390,140,20,70,20,40,50,70,hayır,,,Geçerli,Ana Liste
1. lig,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,550000,LOW,0,0.37,0.09,0.35,evet,33100,18100,673000,1500000,1000000,1000000,550000,673000,550000,450000,450000,450000,33100,40500,550000,823000,673000,673000,550000,450000,368000,368000,450000,450000,33100,27100,550000,673000,450000,550000,450000,hayır,,,Geçerli,Ana Liste
1. lig puan durumu,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd,550000,LOW,0,0.07,0.01,0.43,evet,9900,9900,550000,1500000,1000000,823000,450000,550000,368000,301000,368000,246000,14800,33100,450000,823000,450000,450000,368000,301000,246000,201000,201000,165000,12100,14800,368000,550000,301000,301000,246000,hayır,,,Geçerli,Ana Liste
1. lig fikstür,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,12100,LOW,1,0.15,0.03,0.31,evet,6600,590,8100,27100,22200,18100,12100,12100,9900,9900,9900,12100,6600,880,8100,18100,12100,12100,9900,8100,8100,8100,9900,12100,12100,590,9900,18100,9900,12100,9900,hayır,,,Geçerli,Ana Liste
1. lig maç sonuçları,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac,27100,LOW,2,,,,evet,110,90,12100,49500,40500,40500,27100,27100,27100,22200,22200,27100,170,260,14800,40500,40500,33100,27100,27100,27100,22200,27100,27100,210,260,18100,40500,33100,40500,33100,hayır,,,Geçerli,Ana Liste
1. lig canlı izle,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,10,LOW,0,,,,evet,10,0,20,20,10,10,10,10,10,10,10,20,0,0,10,10,10,10,10,10,10,10,10,10,10,0,10,20,10,10,10,hayır,,,Geçerli,Ana Liste
1. lig hangi kanalda,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Body,kan,140,LOW,10,0.19,0.1,0.34,evet,140,10,170,140,40,50,70,50,20,30,50,1000,50,20,50,50,50,50,50,40,30,40,90,1000,110,30,90,70,90,20,40,hayır,,,Geçerli,Ana Liste
trendyol 1. lig,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,jen,90500,LOW,0,,0.16,0.58,evet,9900,4400,110000,201000,135000,165000,90500,90500,74000,60500,90500,90500,8100,9900,90500,165000,110000,90500,74000,49500,49500,40500,60500,74000,6600,4400,60500,90500,49500,49500,40500,hayır,,,Geçerli,Ana Liste
trendyol 1. lig puan durumu,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Long-tail,pd,49500,LOW,0,,,,evet,1900,1600,49500,135000,90500,90500,49500,60500,40500,27100,27100,18100,2900,5400,49500,74000,40500,40500,33100,33100,33100,27100,27100,18100,1900,1900,40500,60500,33100,40500,33100,hayır,,,Geçerli,Ana Liste
trendyol 1. lig fikstür,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,1900,LOW,0,,,,evet,2400,170,880,3600,2900,2900,1600,1600,1600,1300,1300,1300,1900,210,880,1900,720,1300,1300,880,1000,880,1300,1600,3600,140,1000,2400,1000,1600,1300,hayır,,,Geçerli,Ana Liste
trendyol 1. lig maç sonuçları,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,mac,1900,LOW,0,,,,evet,30,20,1300,4400,3600,3600,1900,2400,2400,1900,1600,1600,10,20,1300,2900,1900,2400,2400,1900,1900,1900,1900,1900,20,20,1900,3600,2400,2400,1900,hayır,,,Geçerli,Ana Liste
trendyol 1. lig canlı izle,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle,20,LOW,0,,,,evet,10,0,30,50,20,30,10,10,10,10,10,30,10,0,10,10,10,10,10,10,10,10,20,90,0,0,0,0,0,0,0,hayır,,,Geçerli,Ana Liste
trendyol 1. lig hangi kanalda,TFF 1. Lig,Futbol,Lig,2. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Long-tail,kan,140,LOW,4,0.08,0.07,0.26,evet,260,20,70,90,40,40,40,40,30,30,70,880,140,20,70,50,50,20,30,30,30,30,40,880,260,30,70,40,40,30,20,hayır,,,Geçerli,Ana Liste
2. lig,TFF 2. Lig,Futbol,Lig,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,135000,LOW,0,,0.07,0.28,evet,12100,12100,135000,246000,201000,165000,135000,165000,135000,165000,165000,110000,14800,40500,246000,246000,135000,110000,74000,90500,110000,110000,110000,33100,12100,22200,201000,301000,201000,165000,135000,hayır,,,Geçerli,Ana Liste
2. lig puan durumu,TFF 2. Lig,Futbol,Lig,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd,110000,LOW,1,,0.06,0.3,evet,5400,6600,90500,246000,165000,135000,110000,135000,90500,110000,110000,49500,6600,18100,135000,201000,165000,74000,49500,60500,60500,49500,49500,14800,4400,8100,90500,201000,110000,90500,74000,hayır,,,Geçerli,Ana Liste
2. lig fikstür,TFF 2. Lig,Futbol,Lig,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,1600,LOW,1,0.17,0.05,0.44,evet,1900,720,880,2400,1900,1900,1600,1600,1300,1600,1900,1900,4400,1300,1000,1600,880,880,480,720,880,880,1300,1900,2900,590,1000,2400,1600,1300,1300,hayır,,,Geçerli,Ana Liste
3. lig,TFF 3. Lig,Futbol,Lig,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,90500,LOW,2,0.21,0.1,0.14,evet,40500,14800,74000,201000,110000,74000,74000,90500,90500,135000,110000,33100,22200,40500,201000,301000,135000,110000,74000,110000,135000,110000,110000,27100,14800,14800,135000,135000,110000,90500,60500,hayır,,,Geçerli,Ana Liste
3. lig puan durumu,TFF 3. Lig,Futbol,Lig,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd,110000,LOW,0,,0.1,0.66,evet,9900,9900,110000,246000,135000,135000,110000,135000,135000,201000,135000,33100,12100,22200,165000,673000,368000,246000,165000,246000,246000,246000,201000,33100,8100,9900,60500,165000,90500,74000,40500,hayır,,,Geçerli,Ana Liste
3. lig fikstür,TFF 3. Lig,Futbol,Lig,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,880,LOW,1,0.09,0.09,0.5,evet,1900,260,320,1000,880,880,720,880,880,1300,1300,1000,2400,720,590,2400,1600,1000,880,1300,1900,1900,1900,2900,2900,880,720,1000,880,880,480,hayır,,,Geçerli,Ana Liste
türkiye kupası,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,jen,368000,LOW,0,,,,evet,9900,22200,550000,823000,823000,550000,450000,823000,33100,90500,74000,18100,6600,9900,201000,823000,201000,1000000,450000,301000,33100,90500,27100,18100,9900,12100,368000,201000,74000,823000,450000,hayır,,,Geçerli,Ana Liste
türkiye kupası puan durumu,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,pd,49500,LOW,0,,,,evet,170,1600,22200,49500,201000,110000,90500,110000,480,720,720,390,210,720,14800,60500,18100,201000,60500,1600,210,390,110,110,90,110,2400,590,720,5400,2900,hayır,,,Geçerli,Ana Liste
türkiye kupası fikstür,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,4400,LOW,0,,,,evet,70,260,2900,14800,9900,6600,5400,14800,390,720,590,140,40,30,590,8100,4400,14800,5400,4400,480,880,390,90,70,70,1300,1900,1600,14800,8100,hayır,,,Geçerli,Ana Liste
türkiye kupası maç sonuçları,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac,1900,LOW,1,,,,evet,70,390,1600,3600,3600,2400,2900,5400,110,1300,1300,20,10,20,480,2900,320,8100,3600,6600,260,2400,260,140,320,260,1300,1000,390,9900,8100,hayır,,,Geçerli,Ana Liste
türkiye kupası canlı izle,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,70,LOW,3,,,,evet,10,50,140,170,110,70,90,110,0,30,50,10,0,0,170,140,10,140,40,50,10,50,10,40,10,10,260,110,0,170,140,hayır,,,Geçerli,Ana Liste
türkiye kupası hangi kanalda,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,kan,2400,LOW,1,,,,evet,20,260,4400,5400,4400,2900,3600,6600,40,260,170,20,10,10,8100,5400,590,5400,4400,720,30,170,70,1300,90,90,6600,5400,140,6600,3600,hayır,,,Geçerli,Ana Liste
ziraat türkiye kupası,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,jen,550000,LOW,0,0.18,0.03,0.1,evet,14800,14800,823000,1220000,1500000,550000,550000,1220000,60500,165000,201000,40500,9900,12100,301000,1500000,301000,1500000,823000,673000,135000,246000,74000,33100,18100,18100,550000,368000,165000,1830000,823000,hayır,,,Geçerli,Ana Liste
ziraat türkiye kupası puan durumu,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,pd,246000,LOW,0,,,,evet,3600,2400,110000,301000,1220000,673000,368000,450000,2900,2900,2400,2900,1900,1900,40500,301000,135000,1830000,550000,60500,880,1600,590,590,390,320,8100,2400,3600,14800,8100,hayır,,,Geçerli,Ana Liste
ziraat türkiye kupası fikstür,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,2900,LOW,0,,,,evet,40,50,2400,6600,6600,5400,3600,8100,720,1000,1000,320,70,50,590,5400,2900,8100,3600,3600,720,1600,720,110,70,110,1600,1300,1600,8100,4400,hayır,,,Geçerli,Ana Liste
ziraat türkiye kupası maç sonuçları,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,mac,1900,LOW,0,,,,evet,10,20,1900,3600,4400,2900,3600,5400,110,1600,1600,40,30,20,590,3600,320,9900,3600,5400,170,2400,390,50,20,20,1300,1000,390,12100,9900,hayır,,,Geçerli,Ana Liste
ziraat türkiye kupası canlı izle,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle,70,,,,,,evet,0,10,210,260,90,70,50,140,0,40,40,0,0,10,140,170,10,210,90,90,10,70,40,10,10,10,320,110,10,720,320,hayır,,,Geçerli,Ana Liste
ziraat türkiye kupası hangi kanalda,Ziraat Türkiye Kupası,Futbol,Kupa,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Turnuva,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,kan,2400,LOW,3,,,,evet,10,20,5400,8100,4400,1900,1900,8100,50,390,320,70,20,20,6600,9900,590,6600,8100,1300,40,320,210,210,50,40,8100,2400,260,12100,4400,hayır,,,Geçerli,Ana Liste
süper kupa,Turkcell Süper Kupa,Futbol,Süper Kupa,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Tek Etkinlik,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,jen,74000,LOW,0,0.34,0.08,0.22,evet,9900,9900,40500,14800,9900,9900,550000,74000,40500,12100,9900,60500,22200,33100,74000,27100,6600,9900,9900,6600,5400,9900,8100,368000,110000,14800,40500,450000,74000,90500,74000,hayır,,,Geçerli,Ana Liste
süper kupa canlı izle,Turkcell Süper Kupa,Futbol,Süper Kupa,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Tek Etkinlik,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,30,LOW,0,,,,evet,10,0,10,0,0,0,390,0,0,0,0,30,10,10,10,10,10,10,10,10,10,10,20,1600,50,10,30,1300,10,10,30,hayır,,,Geçerli,Ana Liste
süper kupa hangi kanalda,Turkcell Süper Kupa,Futbol,Süper Kupa,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Tek Etkinlik,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,kan,2900,LOW,0,,,,evet,10,20,70,30,50,40,33100,880,30,10,10,2400,20,50,320,210,90,140,260,90,30,70,50,40500,6600,140,880,110000,1600,590,1900,hayır,,,Geçerli,Ana Liste
a milli takım,A Milli Futbol Takımı,Futbol,Milli,Milli,Global Elit,Erkek,Milli Takım,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Sürekli,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,jen,135000,LOW,0,,,,evet,9900,246000,33100,33100,450000,18100,9900,18100,301000,165000,301000,27100,9900,135000,22200,14800,246000,9900,9900,22200,165000,246000,201000,22200,201000,450000,33100,9900,246000,14800,9900,hayır,,,Geçerli,Ana Liste
a milli takım fikstür,A Milli Futbol Takımı,Futbol,Milli,Milli,Global Elit,Erkek,Milli Takım,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Sürekli,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,720,LOW,1,,,,evet,50,1600,480,320,1600,590,210,260,1000,1600,1000,320,170,480,260,210,1000,210,170,390,1300,1600,1300,210,320,2400,320,110,1000,480,260,hayır,,,Geçerli,Ana Liste
a milli takım canlı izle,A Milli Futbol Takımı,Futbol,Milli,Milli,Global Elit,Erkek,Milli Takım,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Sürekli,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle,50,LOW,29,,,,evet,10,140,10,0,260,0,0,10,40,30,90,10,0,50,10,10,140,0,0,10,70,50,50,10,140,210,0,10,170,0,0,hayır,,,Geçerli,Ana Liste
a milli takım hangi kanalda,A Milli Futbol Takımı,Futbol,Milli,Milli,Global Elit,Erkek,Milli Takım,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Sürekli,Turnuva,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,kan,1000,LOW,3,,,,evet,10,1300,30,40,5400,10,10,10,2400,1300,3600,30,10,1600,10,10,2400,10,10,10,1600,2400,2900,20,210,2400,20,10,1600,10,10,hayır,,,Geçerli,Ana Liste
