keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,kurum_sorgusu
trabzonspor oyuncuları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Head,tk_oyuncu,110000,LOW,0,0.26,,,evet,,27100,90500,135000,90500,135000,135000,165000,110000,90500,165000,110000,74000,hayır
trabzonspor transfer,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Transfer,Bilgi,Takım,Jenerik,İngilizce,Head,tk_transfer,90500,LOW,1,0.27,0.11,0.21,evet,,135000,49500,22200,9900,49500,135000,40500,22200,18100,135000,201000,246000,hayır
trabzonspor,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Jenerik,Bilgi,Takım,Jenerik,İngilizce,Head,tk_jen,6120000,LOW,1,0.26,0.11,0.35,evet,,1220000,9140000,11100000,6120000,6120000,5000000,9140000,5000000,4090000,5000000,5000000,2240000,hayır
başakşehir maçı,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Head,tk_mac,74000,LOW,0,0.28,0.05,0.37,evet,,6600,40500,60500,49500,49500,27100,49500,40500,60500,27100,368000,74000,hayır
başakşehir maçları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Head,tk_maclar,74000,LOW,0,0.28,0.05,0.37,evet,,6600,40500,60500,49500,49500,27100,49500,40500,60500,27100,368000,74000,hayır
başakşehir maçı ne zaman,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Takım,Jenerik,Türkçe,Body,tk_nezaman,1900,LOW,1,0.09,0.05,0.37,evet,,170,880,1600,1600,1300,1000,1600,880,1300,880,8100,2900,hayır
başakşehir maçı hangi kanalda,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Takım,Jenerik,Türkçe,Body,tk_kanal,22200,LOW,1,0.34,0.07,0.32,evet,,70,320,880,1000,880,1300,1600,1000,2400,880,165000,49500,hayır
başakşehir canlı izle,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Takım,Jenerik,Türkçe,Body,tk_izle,1300,LOW,5,0.43,,,evet,,320,1000,1000,1300,1600,2400,2400,1900,1900,1600,590,210,hayır
başakşehir fikstür,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Takım,Jenerik,Türkçe,Head,tk_fikstur,1000,LOW,1,,,,evet,,70,590,1300,1000,1000,720,1300,720,1000,880,2900,1000,hayır
başakşehir puan durumu,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_pd,74000,LOW,0,0.03,0.02,0.26,evet,,5400,135000,165000,90500,90500,60500,90500,49500,60500,33100,60500,14800,hayır
başakşehir kadro,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Head,tk_kadro,2400,LOW,0,0.44,,,evet,,1600,1900,1900,2900,2900,1600,3600,1300,1900,2400,3600,1900,hayır
başakşehir oyuncuları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Head,tk_oyuncu,18100,LOW,0,,,,evet,,5400,14800,18100,22200,27100,14800,33100,12100,18100,14800,27100,14800,hayır
başakşehir transfer,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Transfer,Bilgi,Takım,Jenerik,Türkçe,Head,tk_transfer,1300,LOW,0,0.31,,,evet,,1600,720,320,320,1000,1600,590,210,320,1900,2900,6600,hayır
başakşehir,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Jenerik,Bilgi,Takım,Jenerik,Türkçe,Head,tk_jen,673000,LOW,1,0.37,0.05,0.57,evet,,201000,368000,450000,450000,450000,368000,550000,450000,550000,450000,2240000,673000,hayır
samsunspor maçı,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Head,tk_mac,110000,LOW,1,,,,evet,,1300,33100,49500,201000,135000,40500,201000,301000,165000,33100,165000,6600,hayır
samsunspor maçları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Head,tk_maclar,135000,LOW,0,0.14,0.04,0.2,evet,,5400,74000,110000,201000,165000,135000,246000,301000,201000,90500,165000,27100,hayır
samsunspor maçı ne zaman,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Takım,Jenerik,Türkçe,Body,tk_nezaman,9900,LOW,1,,,,evet,,390,2900,6600,14800,14800,8100,22200,18100,9900,5400,12100,1300,hayır
samsunspor maçı hangi kanalda,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Takım,Jenerik,Türkçe,Body,tk_kanal,40500,LOW,1,,0.05,0.2,evet,,70,1900,8100,33100,33100,6600,49500,90500,49500,5400,246000,2900,hayır
samsunspor canlı izle,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Takım,Jenerik,Türkçe,Body,tk_izle,720,LOW,4,,,,evet,,10,260,720,880,720,210,1000,1600,1000,480,2400,140,hayır
samsunspor fikstür,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Takım,Jenerik,Türkçe,Head,tk_fikstur,5400,LOW,1,0.24,0.05,0.24,evet,,170,1600,4400,6600,6600,4400,8100,12100,9900,5400,8100,2900,hayır
samsunspor puan durumu,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Takım,Jenerik,İngilizce,Body,tk_pd,368000,LOW,0,,0.04,0.25,evet,,6600,301000,368000,368000,368000,301000,823000,1000000,550000,201000,246000,22200,hayır
samsunspor kadro,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,İngilizce,Head,tk_kadro,3600,LOW,0,,,,evet,,1000,3600,2400,3600,2900,3600,5400,4400,4400,1900,3600,1600,hayır
samsunspor oyuncuları,Süper Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Head,tk_oyuncu,33100,LOW,0,,,,evet,,4400,27100,22200,40500,40500,49500,60500,49500,49500,22200,49500,18100,hayır
