keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,intent_kaynak,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,kulup,oyuncu_ana_ad,milli_kaynak,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01
süleyman akdi hangi takımda,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,süleyman akdi,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
süleyman akdi istatistik,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,süleyman akdi,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahmet çelik,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,ahmet çelik,,2400,LOW,0,,,,evet,2900,6600,1900,2400,1900,1900,2400,2400,2400,1900,1900,1900,2900,8100,1900,2400,1900,1900,2900,1900,1900,1900,1900,1900,1900,2400,2900,2400,14800,2400,2400
ahmet çelik kimdir,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,ahmet çelik,,170,LOW,0,,,,evet,170,320,170,140,140,140,140,170,140,90,140,140,170,720,170,210,210,170,260,140,110,140,140,170,170,170,210,210,880,210,260
ahmet çelik hangi takımda,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,ahmet çelik,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahmet çelik istatistik,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,ahmet çelik,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gökhan kocakaya,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,gökhan kocakaya,,880,LOW,1,,,,evet,880,2900,1000,880,480,390,720,590,720,320,320,480,720,720,720,590,720,1000,1300,720,590,480,590,720,880,2900,1300,1300,1600,1900,4400
gökhan kocakaya kimdir,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,gökhan kocakaya,,10,LOW,0,,,,evet,10,20,10,20,10,10,10,10,20,20,10,20,30,30,20,20,10,20,20,30,30,40,50,40,30,40,10,10,30,20,20
gökhan kocakaya hangi takımda,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,gökhan kocakaya,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gökhan kocakaya istatistik,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,gökhan kocakaya,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bay nalçakan,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,bay nalçakan,,2900,LOW,1,0.38,0.21,0.37,evet,5400,27100,110,70,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bay nalçakan kimdir,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,bay nalçakan,,20,LOW,5,,,,evet,90,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bay nalçakan hangi takımda,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,bay nalçakan,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bay nalçakan istatistik,TJK · At Yarışı,At Yarışı,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,bay nalçakan,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toprak razgatlıoğlu,MotoGP,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,toprak razgatlıoğlu,,110000,LOW,1,0.18,0.04,0.38,evet,40500,74000,90500,60500,135000,60500,110000,165000,135000,368000,110000,74000,135000,135000,110000,110000,60500,60500,33100,33100,49500,135000,110000,110000,110000,49500,74000,74000,135000,27100,27100
toprak razgatlıoğlu kimdir,MotoGP,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,toprak razgatlıoğlu,,720,LOW,3,,,,evet,320,590,390,320,260,210,1600,1300,880,2900,480,320,590,720,480,720,260,140,170,260,390,1000,480,880,720,320,720,590,1000,210,260
toprak razgatlıoğlu hangi takımda,MotoGP,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,toprak razgatlıoğlu,,720,LOW,2,,,,evet,260,480,480,390,480,390,590,880,2400,1300,1000,480,720,590,170,140,70,70,40,70,70,320,70,170,170,70,90,140,260,50,50
toprak razgatlıoğlu istatistik,MotoGP,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,toprak razgatlıoğlu,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deniz öncü,Moto2,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,deniz öncü,,3600,LOW,0,,,,evet,880,1900,3600,2900,3600,2400,1900,1600,6600,8100,4400,4400,9900,27100,2400,3600,1600,720,590,590,1300,1600,3600,2400,2400,1900,4400,2400,5400,1600,2400
deniz öncü kimdir,Moto2,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,deniz öncü,,40,LOW,0,,,,evet,10,20,50,20,20,20,30,20,90,70,30,50,140,390,10,20,10,10,10,10,20,30,70,50,40,50,70,40,140,30,30
deniz öncü hangi takımda,Moto2,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,deniz öncü,,30,LOW,0,,,,evet,10,20,40,20,70,30,10,10,40,50,10,30,90,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deniz öncü istatistik,Moto2,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,deniz öncü,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can öncü,Superbike,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,can öncü,,4400,LOW,0,,,,evet,1900,1600,4400,2400,5400,8100,1600,1000,5400,12100,9900,1900,9900,14800,12100,9900,5400,880,880,480,1300,1900,2400,1600,1600,1000,1900,1900,1900,1000,880
can öncü kimdir,Superbike,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,can öncü,,30,LOW,1,,,,evet,10,20,20,20,30,30,10,10,40,70,30,10,140,210,110,110,30,10,10,10,20,30,30,10,20,10,30,10,30,10,20
can öncü hangi takımda,Superbike,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,can öncü,,10,,,,,,evet,0,10,10,10,10,20,10,10,10,40,20,10,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
can öncü istatistik,Superbike,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,can öncü,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max verstappen,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,max verstappen,,49500,LOW,1,0.49,0.17,0.87,evet,33100,33100,49500,33100,49500,27100,33100,90500,60500,60500,60500,40500,60500,40500,49500,49500,33100,14800,18100,33100,40500,22200,27100,22200,33100,33100,40500,40500,60500,33100,18100
max verstappen kimdir,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,max verstappen,,50,LOW,0,,,,evet,70,30,50,50,30,30,40,70,70,70,70,40,70,30,30,40,20,10,20,40,70,30,70,30,30,30,50,30,50,20,30
max verstappen hangi takımda,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,max verstappen,,170,LOW,0,,,,evet,90,90,170,170,170,90,140,320,260,210,210,260,320,140,110,70,50,50,50,50,70,40,40,50,50,70,110,90,140,110,30
max verstappen istatistik,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,max verstappen,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lewis hamilton,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,lewis hamilton,,40500,LOW,1,0.62,0.12,1.08,evet,33100,60500,40500,40500,40500,60500,27100,40500,33100,40500,40500,49500,60500,33100,49500,33100,49500,27100,49500,40500,27100,22200,22200,27100,49500,27100,40500,33100,49500,90500,22200
lewis hamilton kimdir,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,lewis hamilton,,140,LOW,0,,,,evet,110,210,210,170,140,480,70,70,70,90,90,90,170,110,170,90,110,50,110,170,70,90,90,110,210,140,260,170,170,480,110
lewis hamilton hangi takımda,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,lewis hamilton,,210,LOW,0,,,,evet,90,140,170,260,110,140,170,260,210,260,260,320,320,170,170,40,110,90,170,260,140,90,110,90,140,90,170,140,260,390,30
lewis hamilton istatistik,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,lewis hamilton,,10,LOW,0,,,,evet,10,10,0,0,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,20,10,10,10,10,0,0,0,0,0,0,0
lando norris,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,lando norris,,22200,LOW,1,0.39,0.1,0.69,evet,14800,12100,14800,9900,18100,14800,12100,74000,33100,22200,18100,22200,33100,18100,22200,18100,27100,4400,5400,12100,9900,9900,14800,12100,22200,14800,27100,12100,14800,8100,3600
lando norris kimdir,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,lando norris,,20,LOW,0,,,,evet,10,10,10,10,10,10,10,90,10,10,10,10,20,10,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lando norris hangi takımda,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,lando norris,,50,LOW,0,,,,evet,50,10,50,20,40,10,40,320,70,30,20,20,50,40,10,40,70,10,10,30,30,30,50,50,70,0,0,0,0,0,0
lando norris istatistik,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,lando norris,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charles leclerc,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,charles leclerc,,40500,LOW,1,0.16,0.18,1.13,evet,33100,33100,33100,27100,60500,27100,27100,49500,40500,40500,33100,40500,40500,33100,33100,33100,33100,14800,14800,22200,22200,27100,33100,22200,40500,40500,74000,40500,60500,40500,18100
charles leclerc kimdir,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,charles leclerc,,70,LOW,0,,,,evet,50,40,50,40,140,20,50,90,90,70,90,90,90,50,70,70,70,40,30,50,50,50,70,50,90,110,320,140,210,110,30
charles leclerc hangi takımda,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,charles leclerc,,40,LOW,0,,,,evet,20,10,30,50,20,30,30,50,50,40,50,50,70,40,30,30,20,10,20,20,10,20,20,20,30,0,0,0,0,0,0
charles leclerc istatistik,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,charles leclerc,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oscar piastri,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,oscar piastri,,14800,LOW,1,0.28,0.33,0.79,evet,8100,9900,9900,6600,18100,5400,6600,27100,22200,27100,18100,22200,27100,22200,22200,27100,14800,1900,1900,4400,4400,3600,12100,5400,14800,6600,12100,4400,8100,3600,1600
oscar piastri kimdir,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,oscar piastri,,10,LOW,0,,,,evet,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oscar piastri hangi takımda,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,oscar piastri,,10,LOW,0,,,,evet,10,10,10,10,20,10,10,20,10,10,10,10,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oscar piastri istatistik,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,oscar piastri,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
george russell,Formula 1,Motor Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,george russell,,18100,LOW,0,0.39,0.17,0.67,evet,14800,18100,18100,14800,33100,8100,9900,18100,18100,18100,12100,14800,14800,22200,12100,14800,12100,3600,3600,9900,8100,3600,6600,6600,14800,9900,6600,5400,9900,5400,2400
