keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,kulup,oyuncu_ana_ad,kurum_sorgusu,oyuncu_dogrulama,varyant_denetim,teknik_kadro,katman,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,mantik_denetim,faset_notu
irfan can kahveci hangi takımda,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Long-tail,Oyuncu Bilgi,fenerbahçe,i̇rfan can kahveci,hayır,Oyuncu,Geçerli,,Genişletme,1600,LOW,0,,,,evet,1600,1600,1300,1900,2400,4400,4400,590,590,720,390,390,720,320,390,720,1600,590,720,720,880,2900,880,880,1600,590,590,390,320,320,320,Geçerli,
irfan can kahveci istatistik,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,fenerbahçe,i̇rfan can kahveci,hayır,Oyuncu,Geçerli,,Genişletme,2400,LOW,0,,,,evet,1000,1900,1600,2400,1900,3600,3600,1900,1600,2900,2400,2900,4400,2400,4400,2900,4400,2400,3600,2900,4400,5400,2900,3600,1600,1600,2900,5400,1600,1600,3600,Geçerli,
irfan kahveci,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,fenerbahçe,i̇rfan can kahveci,hayır,Oyuncu,Geçerli,,Genişletme,880,LOW,0,,,,evet,720,1900,720,1300,880,720,1000,590,590,1300,720,880,1000,880,880,880,1300,720,1000,1000,1000,3600,1300,1600,2900,2400,1300,2400,880,880,1000,Geçerli,
irfan kahveci kimdir,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,fenerbahçe,i̇rfan can kahveci,hayır,Oyuncu,Geçerli,,Genişletme,10,LOW,10,,,,evet,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,50,0,0,0,0,0,0,0,0,0,Geçerli,
irfan kahveci hangi takımda,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,fenerbahçe,i̇rfan can kahveci,hayır,Oyuncu,Geçerli,,Genişletme,10,LOW,0,,,,evet,10,10,10,10,20,20,20,0,10,10,10,10,10,10,10,10,10,10,10,10,10,140,30,10,0,0,0,0,0,0,0,Geçerli,
irfan kahveci istatistik,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,fenerbahçe,i̇rfan can kahveci,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
ilhan fakılı,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,beşiktaş,i̇lhan fakılı,hayır,Oyuncu,Geçerli,,Genişletme,27100,LOW,0,0.02,,,evet,246000,33100,260,40,20,90,1000,90,20,40,20,40,10,10,10,10,10,0,10,10,0,10,10,10,0,0,0,0,0,0,0,Geçerli,
ilhan fakılı kimdir,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,beşiktaş,i̇lhan fakılı,hayır,Oyuncu,Geçerli,,Genişletme,210,LOW,1,0.01,,,evet,2400,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Geçerli,
ilhan fakılı hangi takımda,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,beşiktaş,i̇lhan fakılı,hayır,Oyuncu,Geçerli,,Genişletme,30,LOW,1,,,,evet,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Geçerli,
ilhan fakılı istatistik,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,beşiktaş,i̇lhan fakılı,hayır,Oyuncu,Geçerli,,Genişletme,10,LOW,0,,,,evet,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Geçerli,
taha emre ince,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Jenerik,trabzonspor,taha emre i̇nce,hayır,Oyuncu,Geçerli,,Genişletme,1000,LOW,0,,,,evet,1000,590,1300,1600,880,1000,1600,1300,590,1000,1300,480,1300,720,1900,3600,480,260,70,90,210,30,0,0,0,0,0,0,0,0,0,Geçerli,
taha emre ince kimdir,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,trabzonspor,taha emre i̇nce,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
taha emre ince hangi takımda,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Long-tail,Oyuncu Bilgi,trabzonspor,taha emre i̇nce,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
taha emre ince istatistik,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,trabzonspor,taha emre i̇nce,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
taha ince,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,trabzonspor,taha emre i̇nce,hayır,Oyuncu,Geçerli,,Genişletme,50,LOW,0,,,,evet,50,40,50,70,70,70,90,110,50,30,40,20,40,20,40,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Geçerli,
taha ince kimdir,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,trabzonspor,taha emre i̇nce,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
taha ince hangi takımda,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,trabzonspor,taha emre i̇nce,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
taha ince istatistik,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,trabzonspor,taha emre i̇nce,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
selçuk inan,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,kocaelispor,selçuk i̇nan,hayır,Oyuncu,Geçerli,,Genişletme,40500,LOW,0,,,,evet,14800,22200,18100,74000,40500,49500,22200,27100,60500,40500,49500,49500,22200,40500,60500,49500,49500,60500,33100,49500,33100,40500,60500,22200,27100,22200,40500,33100,49500,18100,18100,"Aktif oyuncu değil (Emekli, teknik direktör)",
selçuk inan kimdir,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,kocaelispor,selçuk i̇nan,hayır,Oyuncu,Geçerli,,Genişletme,140,LOW,0,,,,evet,50,50,70,480,90,170,70,70,260,40,70,140,50,210,140,90,110,170,90,210,110,110,260,50,50,50,110,70,320,70,90,Geçerli,
selçuk inan hangi takımda,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,kocaelispor,selçuk i̇nan,hayır,Oyuncu,Geçerli,,Genişletme,480,LOW,0,,,,evet,90,70,170,1000,320,590,210,140,1000,590,720,720,210,320,210,210,260,260,170,720,590,390,390,390,170,110,1000,1000,720,320,320,Geçerli,
selçuk inan istatistik,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,kocaelispor,selçuk i̇nan,hayır,Oyuncu,Geçerli,,Genişletme,480,LOW,0,,,,evet,90,170,210,1000,480,590,320,320,880,480,590,720,390,720,880,880,1300,1300,720,1000,590,590,1000,480,170,110,210,140,390,110,170,Geçerli,
ismail köybaşı,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,göztepe,i̇smail köybaşı,hayır,Oyuncu,Geçerli,,Genişletme,8100,LOW,0,,,,evet,12100,3600,4400,9900,5400,6600,12100,5400,4400,8100,8100,22200,5400,4400,6600,90500,8100,8100,22200,6600,27100,8100,5400,9900,6600,5400,14800,8100,6600,8100,6600,Aktif oyuncu değil (Emekli futbolcu),
ismail köybaşı kimdir,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,göztepe,i̇smail köybaşı,hayır,Oyuncu,Geçerli,,Genişletme,20,LOW,0,,,,evet,30,10,10,30,10,10,10,10,10,20,10,20,10,10,10,140,10,20,20,10,40,10,10,10,20,10,40,20,20,20,10,Geçerli,
ismail köybaşı hangi takımda,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,göztepe,i̇smail köybaşı,hayır,Oyuncu,Geçerli,,Genişletme,50,LOW,0,,,,evet,50,20,50,90,70,70,70,20,50,70,30,90,10,10,20,70,40,40,90,50,170,30,50,50,20,10,20,20,10,30,40,Geçerli,
ismail köybaşı istatistik,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,göztepe,i̇smail köybaşı,hayır,Oyuncu,Geçerli,,Genişletme,10,,,,,,evet,0,0,10,0,10,0,10,10,0,10,0,0,0,0,0,10,0,10,0,10,0,0,0,0,10,0,0,0,0,0,0,Geçerli,
ilter,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,eyüpspor,taşkın i̇lter,hayır,Oyuncu,Geçerli,,Genişletme,1000,LOW,0,,,,evet,880,1000,1000,880,1000,880,1000,1000,1000,880,1300,720,1000,880,1000,1000,880,880,1000,1000,880,880,720,880,1000,1300,1300,1000,1000,880,880,Geçerli,
ilter kimdir,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Bilgi,eyüpspor,taşkın i̇lter,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
ilter hangi takımda,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,eyüpspor,taşkın i̇lter,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
ilter istatistik,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,İstatistik,eyüpspor,taşkın i̇lter,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
taşkın ilter,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,eyüpspor,taşkın i̇lter,hayır,Oyuncu,Geçerli,,Genişletme,720,LOW,0,,,,evet,480,590,720,260,480,880,1000,2900,170,170,320,390,210,260,260,390,320,480,480,3600,880,260,320,480,720,110,170,390,320,480,170,Geçerli,
taşkın ilter kimdir,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,eyüpspor,taşkın i̇lter,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
taşkın ilter hangi takımda,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,eyüpspor,taşkın i̇lter,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
taşkın ilter istatistik,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,eyüpspor,taşkın i̇lter,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
ilayda cansu kara,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Jenerik,amed sportif,i̇layda cansu kara,hayır,Oyuncu,Geçerli,,Genişletme,40,LOW,0,,,,evet,20,30,30,30,70,70,30,50,70,20,10,20,20,20,40,30,30,50,90,170,70,110,70,50,210,110,90,90,70,50,90,Geçerli,
ilayda cansu kara kimdir,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,amed sportif,i̇layda cansu kara,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
ilayda cansu kara hangi takımda,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Long-tail,Oyuncu Bilgi,amed sportif,i̇layda cansu kara,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
ilayda cansu kara istatistik,Süper Lig,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,amed sportif,i̇layda cansu kara,hayır,Oyuncu,Geçerli,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
